mapping,t_fft_l,t_fft_r,t_filter_l,t_filter_r,t_ifft_l,t_ifft_r,t_sink,t_src,executionTime,totalEnergy,original_mapping,edp
0,ARM00,ARM00,ARM00,ARM00,ARM00,ARM00,ARM00,ARM00,170.9427999999999,60.44239757479986,0,10332.192680149492
1,ARM00,ARM00,ARM00,ARM00,ARM01,ARM01,ARM01,ARM00,87.65759999999999,50.018993278353854,51,4384.54490519663
2,ARM00,ARM00,ARM00,ARM04,ARM00,ARM04,ARM00,ARM00,132.78960000000004,72.07013983100505,683,9570.165040103231
3,ARM00,ARM00,ARM04,ARM04,ARM00,ARM00,ARM00,ARM00,168.92600000000004,58.25401084658846,3198,9840.617036270804
4,ARM00,ARM01,ARM00,ARM02,ARM02,ARM03,ARM03,ARM00,49.60140000000001,44.396315992786576,5806,2202.119428084605
5,ARM00,ARM01,ARM01,ARM01,ARM02,ARM00,ARM02,ARM02,85.57340000000003,47.18324880462698,7850,4037.631023257868
6,ARM00,ARM01,ARM02,ARM03,ARM02,ARM03,ARM04,ARM00,48.51160000000001,57.30297545441908,12666,2779.859024054597
7,ARM00,ARM01,ARM02,ARM04,ARM04,ARM04,ARM02,ARM00,46.89960000000003,80.56582634611084,14185,3778.505029302062
8,ARM00,ARM01,ARM04,ARM00,ARM00,ARM05,ARM01,ARM01,77.92779999999998,67.00925516848625,14749,5221.883834918761
9,ARM00,ARM01,ARM04,ARM01,ARM00,ARM01,ARM00,ARM01,86.1646,49.67044586652417,15607,4279.834099910708
10,ARM00,ARM01,ARM04,ARM02,ARM04,ARM02,ARM03,ARM00,47.75959999999999,64.27998847890618,17566,3069.986537757167
11,ARM00,ARM01,ARM04,ARM04,ARM02,ARM04,ARM02,ARM00,49.45800000000001,66.81817436751653,18545,3304.6932678686335
12,ARM00,ARM01,ARM04,ARM04,ARM04,ARM04,ARM04,ARM00,46.96559999999999,93.62085837637049,18727,4396.959786161265
13,ARM00,ARM04,ARM00,ARM04,ARM00,ARM04,ARM05,ARM00,86.22419999999997,90.35998530830065,22269,7791.217445219974
14,ARM00,ARM04,ARM00,ARM04,ARM05,ARM01,ARM01,ARM00,49.97940000000001,83.57095702196192,22580,4176.826289383444
15,ARM00,ARM04,ARM04,ARM00,ARM01,ARM04,ARM01,ARM00,50.0578,82.3834304130456,29984,4123.933282930154
16,ARM00,ARM04,ARM04,ARM00,ARM04,ARM00,ARM00,ARM00,97.11580000000004,79.56261377529552,30044,7726.786886878847
17,ARM00,ARM04,ARM04,ARM04,ARM04,ARM04,ARM00,ARM00,57.97260000000002,97.58805837537564,31536,5657.433472972304
18,ARM00,ARM04,ARM04,ARM05,ARM04,ARM05,ARM05,ARM00,46.8502,113.30825050230801,32253,5308.514197683231
19,ARM00,ARM04,ARM05,ARM05,ARM00,ARM05,ARM00,ARM00,96.485,82.52535327281913,36430,7962.458710527954
20,ARM04,ARM04,ARM00,ARM00,ARM00,ARM04,ARM00,ARM04,57.35940000000001,105.5863739773316,38879,6056.371059515355
21,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,86.0258,129.26356752434359,41657,11120.001807135677
22,ARM04,ARM04,ARM05,ARM06,ARM06,ARM05,ARM05,ARM04,42.43160000000001,140.92945382409388,43106,5979.862212882424
23,ARM04,ARM05,ARM00,ARM00,ARM04,ARM05,ARM00,ARM00,35.49480000000001,119.74179599923029,43813,4250.211100633481
24,ARM04,ARM05,ARM00,ARM01,ARM04,ARM05,ARM01,ARM00,34.5194,119.70926115192177,45306,4132.291869407648
25,ARM04,ARM05,ARM00,ARM06,ARM06,ARM04,ARM06,ARM05,31.881999999999998,145.70865666633318,49098,4645.483391836035
26,ARM04,ARM05,ARM00,ARM06,ARM06,ARM05,ARM00,ARM04,32.6756,135.55100381515348,49109,4429.21038026243
27,ARM04,ARM05,ARM04,ARM00,ARM05,ARM06,ARM01,ARM00,33.15560000000001,121.22842372069016,50142,4019.4011255137157
28,ARM04,ARM05,ARM04,ARM05,ARM06,ARM07,ARM00,ARM00,29.0748,123.59808630870594,51332,3593.5896398083637
29,ARM04,ARM05,ARM04,ARM06,ARM06,ARM07,ARM07,ARM05,29.1338,148.42999931855988,52013,4324.32991414706
30,ARM04,ARM05,ARM05,ARM04,ARM04,ARM05,ARM05,ARM04,45.46659999999998,141.50931279474258,53323,6433.94732111344
31,ARM04,ARM05,ARM05,ARM05,ARM04,ARM06,ARM00,ARM00,33.020599999999995,122.48612476138644,53806,4044.565331295836
32,ARM04,ARM05,ARM06,ARM04,ARM06,ARM05,ARM06,ARM04,32.5884,147.66649304500862,56997,4812.214741947959
33,ARM04,ARM05,ARM06,ARM04,ARM07,ARM06,ARM04,ARM05,40.2618,142.6603209790674,57155,5743.761311195016
34,ARM04,ARM05,ARM06,ARM07,ARM06,ARM07,ARM00,ARM01,27.91340000000001,125.32569484351765,59430,3498.266250445047
35,ARM04,ARM05,ARM06,ARM07,ARM06,ARM07,ARM00,ARM04,27.719600000000003,136.46366771589942,59431,3782.718283617646
