mapping,t_COLLECTOR,t_DETECTION_WK_0,t_DETECTION_WK_1,t_DETECTION_WK_2,t_DETECTION_WK_3,t_DISTRIBUTOR,executionTime,totalEnergy,edp,original_mapping
0,ARM00,ARM00,ARM00,ARM00,ARM00,ARM00,33.699,15.769313604904035,531.410099171661,0
1,ARM00,ARM00,ARM00,ARM00,ARM04,ARM00,30.69100000000001,16.430325872334002,504.26313134780304,7
2,ARM00,ARM00,ARM00,ARM04,ARM05,ARM00,27.476,17.56627017610294,482.65083935860434,29
3,ARM00,ARM00,ARM01,ARM01,ARM01,ARM01,18.525,12.75895026361668,236.35955363349896,35
4,ARM00,ARM01,ARM01,ARM01,ARM02,ARM02,12.662999999999998,11.86642803421396,150.26457819725135,101
5,ARM00,ARM01,ARM01,ARM02,ARM04,ARM03,12.352999999999998,14.254319840252366,176.08361298663746,122
6,ARM00,ARM01,ARM01,ARM04,ARM05,ARM02,12.440999999999999,15.898744495057466,197.79628026300992,132
7,ARM00,ARM01,ARM02,ARM04,ARM05,ARM03,12.199000000000002,15.115295972841823,184.3914955726974,172
8,ARM00,ARM01,ARM04,ARM05,ARM06,ARM01,12.699000000000002,17.93239809795074,227.72352344587645,194
9,ARM04,ARM00,ARM00,ARM00,ARM00,ARM00,22.05700000000001,19.423221513778266,428.41799692940737,243
10,ARM04,ARM00,ARM00,ARM00,ARM04,ARM01,10.554999999999998,20.57821035656843,217.20301031357974,253
11,ARM04,ARM00,ARM00,ARM00,ARM05,ARM01,10.530999999999999,19.604156678183497,206.45137397795037,257
12,ARM04,ARM00,ARM00,ARM01,ARM02,ARM03,9.361,18.15488983141829,169.94792371190664,269
13,ARM04,ARM00,ARM00,ARM01,ARM04,ARM02,9.341,19.7388940530828,184.3810093498464,274
14,ARM04,ARM00,ARM00,ARM04,ARM04,ARM00,16.127,21.754084049874624,350.828113472328,283
15,ARM04,ARM00,ARM00,ARM04,ARM04,ARM01,10.089,22.60710113128777,228.0830433135623,284
16,ARM04,ARM00,ARM00,ARM04,ARM05,ARM00,15.862999999999996,21.32721499026505,338.31361139057435,287
17,ARM04,ARM00,ARM00,ARM04,ARM05,ARM01,9.417000000000002,22.21021154232923,209.1535620941144,288
18,ARM04,ARM00,ARM00,ARM05,ARM06,ARM01,9.366,21.789728373305,204.08259594437462,298
19,ARM04,ARM00,ARM01,ARM01,ARM01,ARM00,13.039999999999996,16.913340771157145,220.5499636558891,303
20,ARM04,ARM00,ARM01,ARM01,ARM01,ARM02,9.731000000000002,18.396400370239906,179.01537200280455,305
21,ARM04,ARM00,ARM01,ARM02,ARM05,ARM03,9.14,19.044208890859327,174.06406926245427,346
22,ARM04,ARM00,ARM01,ARM05,ARM05,ARM02,9.308,21.127307896508206,196.6529819006984,363
23,ARM04,ARM00,ARM01,ARM05,ARM06,ARM02,9.095000000000002,21.42133162786388,194.827011155422,369
24,ARM04,ARM00,ARM04,ARM04,ARM04,ARM00,13.429000000000002,23.30328444272737,312.9398067813859,374
25,ARM04,ARM00,ARM04,ARM05,ARM05,ARM00,12.774000000000001,23.482047896004982,299.9596798235677,383
26,ARM04,ARM00,ARM04,ARM05,ARM06,ARM00,12.482000000000001,23.505591688223724,293.3967954524085,388
27,ARM04,ARM00,ARM05,ARM06,ARM07,ARM00,12.464,23.43611734930417,292.10776664172715,411
28,ARM04,ARM00,ARM05,ARM06,ARM07,ARM01,9.024999999999997,24.646418311883238,222.43392526474614,412
29,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,22.518,37.674075401710745,848.3448298957226,418
30,ARM04,ARM04,ARM04,ARM04,ARM05,ARM05,12.703000000000005,35.74645095080285,454.0871664280488,422
31,ARM04,ARM04,ARM05,ARM06,ARM07,ARM00,8.937000000000003,25.31277002917416,226.22022575072955,447
32,ARM04,ARM05,ARM05,ARM05,ARM05,ARM00,9.228999999999996,25.19746952753883,232.54744626965575,452
33,ARM04,ARM05,ARM05,ARM05,ARM05,ARM06,10.185,32.34792420009759,329.46360797799395,455
34,ARM04,ARM05,ARM06,ARM06,ARM06,ARM00,9.584,24.70046745728269,236.7292801105973,471
