mapping,t_COLLECTOR,t_DETECTION_WK_0,t_DETECTION_WK_1,t_DETECTION_WK_2,t_DETECTION_WK_3,t_DISTRIBUTOR,executionTime,totalEnergy,edp,original_mapping
0,ARM00,ARM00,ARM00,ARM00,ARM00,ARM00,114.29779999999997,46.269804960900466,5288.536913460008,0
1,ARM00,ARM00,ARM00,ARM00,ARM04,ARM00,104.03020000000002,49.20961374887632,5119.285960218354,7
2,ARM00,ARM00,ARM00,ARM04,ARM05,ARM00,93.1198,52.2846449336182,4868.735679289541,29
3,ARM00,ARM00,ARM01,ARM01,ARM01,ARM01,62.4036,40.058536465609,2499.796886185278,35
4,ARM00,ARM01,ARM01,ARM01,ARM02,ARM02,41.922,38.24442530911536,1603.282797808734,101
5,ARM00,ARM01,ARM01,ARM02,ARM04,ARM03,41.24380000000001,42.36049328162146,1747.1077128085394,122
6,ARM00,ARM01,ARM01,ARM04,ARM05,ARM02,41.508399999999966,48.51868085251532,2013.932812298545,132
7,ARM00,ARM01,ARM02,ARM04,ARM05,ARM03,40.78740000000001,47.64190815053957,1943.1895644993183,172
8,ARM00,ARM01,ARM04,ARM05,ARM06,ARM01,42.518999999999984,55.31581209925422,2351.9730146481893,194
9,ARM04,ARM00,ARM00,ARM00,ARM00,ARM00,74.79099999999998,61.933979266616255,4632.104243329495,243
10,ARM04,ARM00,ARM00,ARM00,ARM04,ARM01,35.19060000000001,64.75203592037887,2278.6629952596854,253
11,ARM04,ARM00,ARM00,ARM00,ARM05,ARM01,35.028400000000005,64.49817480250518,2259.2678662520725,257
12,ARM04,ARM00,ARM00,ARM01,ARM02,ARM03,31.3308,57.85531337339448,1812.6532522391478,269
13,ARM04,ARM00,ARM00,ARM01,ARM04,ARM02,31.362399999999994,64.32599552618896,2017.4176020905484,274
14,ARM04,ARM00,ARM00,ARM04,ARM04,ARM00,54.5216,71.21842447771884,3882.9424520043954,283
15,ARM04,ARM00,ARM00,ARM04,ARM04,ARM01,33.709999999999994,70.9947198032618,2393.232004567955,284
16,ARM04,ARM00,ARM00,ARM04,ARM05,ARM00,53.6202,70.1506901326363,3761.4940350499846,287
17,ARM04,ARM00,ARM00,ARM04,ARM05,ARM01,31.541999999999998,69.67716312760598,2197.757079370948,288
18,ARM04,ARM00,ARM00,ARM05,ARM06,ARM01,31.04559999999999,69.11253850521972,2145.6402254176487,298
19,ARM04,ARM00,ARM01,ARM01,ARM01,ARM00,43.6914,56.98936627993226,2489.9451978830325,303
20,ARM04,ARM00,ARM01,ARM01,ARM01,ARM02,32.32180000000001,56.893277842249276,1838.8931477616131,305
21,ARM04,ARM00,ARM01,ARM02,ARM05,ARM03,30.690600000000014,62.72865479741498,1925.1800529255452,346
22,ARM04,ARM00,ARM01,ARM05,ARM05,ARM02,31.108599999999992,69.11494101621348,2150.069054096978,363
23,ARM04,ARM00,ARM01,ARM05,ARM06,ARM02,30.536399999999986,68.86952535465818,2103.027374039983,369
24,ARM04,ARM00,ARM04,ARM04,ARM04,ARM00,45.28239999999999,75.56033022677073,3421.5530974607223,374
25,ARM04,ARM00,ARM04,ARM05,ARM05,ARM00,43.07599999999999,75.2473736599041,3241.3558677740284,383
26,ARM04,ARM00,ARM04,ARM05,ARM06,ARM00,42.208400000000026,75.7534590475954,3197.4323008645274,388
27,ARM04,ARM00,ARM05,ARM06,ARM07,ARM00,42.148000000000025,75.84034225474707,3196.5187453530816,411
28,ARM04,ARM00,ARM05,ARM06,ARM07,ARM01,30.305199999999978,76.19919796950245,2309.231934305364,412
29,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,76.41659999999997,112.35334209803044,8585.66040176835,418
30,ARM04,ARM04,ARM04,ARM04,ARM05,ARM05,42.46539999999999,110.24362933872877,4681.539817320851,422
31,ARM04,ARM04,ARM05,ARM06,ARM07,ARM00,30.06059999999998,84.46516282665661,2539.073473666992,447
32,ARM04,ARM05,ARM05,ARM05,ARM05,ARM00,30.834,85.09446725714155,2623.8028034067024,452
33,ARM04,ARM05,ARM05,ARM05,ARM05,ARM06,33.83600000000001,110.84020782763466,3750.389272055848,455
34,ARM04,ARM05,ARM06,ARM06,ARM06,ARM00,31.79300000000001,83.31667916145528,2648.8871805801487,471
