mapping,t_ShifterDLP,t_Worker_0,t_Worker_1,t_Worker_2,t_Worker_3,t_readwave_stage1,t_sink,t_source,executionTime,totalEnergy,original_mapping,edp
0,ARM00,ARM00,ARM00,ARM00,ARM00,ARM00,ARM00,ARM00,92.27740000000004,37.41844204213128,0,3452.876543698567
1,ARM00,ARM00,ARM00,ARM01,ARM01,ARM00,ARM01,ARM01,46.98979999999999,34.311541284747356,231,1612.2924626620209
2,ARM00,ARM00,ARM00,ARM01,ARM01,ARM04,ARM04,ARM04,45.83679999999998,34.82014114321498,307,1596.0438455533158
3,ARM00,ARM00,ARM01,ARM02,ARM03,ARM01,ARM02,ARM01,24.379,31.005852369349235,1422,755.891674912365
4,ARM00,ARM00,ARM01,ARM04,ARM05,ARM05,ARM05,ARM05,23.228000000000005,55.303455236767924,2110,1284.5886582396456
5,ARM00,ARM01,ARM01,ARM02,ARM02,ARM00,ARM01,ARM00,46.21859999999999,34.36601020822501,3197,1588.3488794098682
6,ARM00,ARM01,ARM04,ARM05,ARM05,ARM04,ARM00,ARM04,23.022399999999994,65.999832634991,6146,1519.4745468558162
7,ARM00,ARM01,ARM04,ARM05,ARM06,ARM06,ARM04,ARM05,22.95420000000001,63.59858903923779,6559,1459.8547325244726
8,ARM00,ARM04,ARM04,ARM05,ARM05,ARM00,ARM05,ARM05,17.348799999999994,73.73078796816942,6898,1279.1406943021773
9,ARM00,ARM04,ARM05,ARM06,ARM07,ARM00,ARM06,ARM07,9.698399999999998,62.35009685721329,7926,604.6961793599972
10,ARM04,ARM00,ARM00,ARM00,ARM00,ARM04,ARM00,ARM04,91.0764,36.3986483982152,8178,3315.057860975207
11,ARM04,ARM00,ARM00,ARM00,ARM04,ARM04,ARM04,ARM04,68.42399999999998,43.91430846634013,8433,3004.7926425008563
12,ARM04,ARM00,ARM00,ARM01,ARM01,ARM04,ARM04,ARM01,46.26359999999998,33.378980723002044,8731,1544.2318125766767
13,ARM04,ARM00,ARM00,ARM04,ARM04,ARM04,ARM04,ARM04,45.86299999999999,54.71700298163218,9478,2509.4859077465962
14,ARM04,ARM00,ARM00,ARM04,ARM05,ARM05,ARM04,ARM00,46.18980000000001,52.14721624874024,9615,2408.6694890860626
15,ARM04,ARM00,ARM00,ARM04,ARM05,ARM06,ARM06,ARM05,45.83040000000001,52.67618649266174,9659,2414.170697433285
16,ARM04,ARM00,ARM01,ARM02,ARM03,ARM04,ARM00,ARM04,23.3454,31.668983293330477,11245,739.3250825761173
17,ARM04,ARM00,ARM01,ARM02,ARM03,ARM04,ARM02,ARM05,23.284800000000004,31.895539861653663,11258,742.6812665706334
18,ARM04,ARM00,ARM01,ARM02,ARM04,ARM04,ARM01,ARM04,23.2854,43.31998201732917,11486,1008.7231092663166
19,ARM04,ARM00,ARM01,ARM04,ARM04,ARM04,ARM04,ARM04,23.468000000000004,57.53920064148714,12037,1350.3299606544203
20,ARM04,ARM00,ARM01,ARM04,ARM05,ARM04,ARM05,ARM00,23.564999999999994,53.91733201606638,12234,1270.561928958604
21,ARM04,ARM00,ARM04,ARM04,ARM04,ARM00,ARM04,ARM04,25.90300000000001,68.25876033165297,12962,1768.1066688708074
22,ARM04,ARM00,ARM04,ARM05,ARM05,ARM05,ARM04,ARM04,23.22280000000001,66.28189764859076,13302,1539.2512527136942
23,ARM04,ARM00,ARM04,ARM05,ARM06,ARM05,ARM06,ARM06,23.0734,64.84709918936757,13506,1496.2430584359536
24,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,ARM04,34.40539999999998,81.2390805303546,14472,2795.0630612790605
25,ARM04,ARM04,ARM04,ARM05,ARM05,ARM04,ARM04,ARM05,17.666600000000006,74.77483717598166,14619,1321.017138453198
26,ARM04,ARM04,ARM04,ARM05,ARM05,ARM06,ARM05,ARM05,17.4044,74.71802828673712,14661,1300.4224515136875
27,ARM04,ARM04,ARM05,ARM06,ARM07,ARM04,ARM04,ARM07,10.025799999999997,63.49144409074374,15233,636.5525201649784
